"gelderland","nl","gelderland","WESTERN EUROPE"
"groningen","nl","groningen","WESTERN EUROPE"
"limburg","nl","limburg","WESTERN EUROPE"
"north brabant","nl","noord-brabant","WESTERN EUROPE"
"north holland","nl","noord-holland","WESTERN EUROPE"
"overijssel","nl","overijssel","WESTERN EUROPE"
"south holland","nl","zuid-holland","WESTERN EUROPE"
"utrecht","nl","utrecht","WESTERN EUROPE"
"zeeland","nl","zeeland","WESTERN EUROPE"
"agder","no","aust-agder","WESTERN EUROPE"
"innlandet","no","oppland; hedmark","WESTERN EUROPE"
"møre og romsdal","no","møre og romsdal","WESTERN EUROPE"
"nordland","no","nordland","WESTERN EUROPE"
"norway","no",NA,"WESTERN EUROPE"
"oslo","no","oslo","WESTERN EUROPE"
"rogaland","no","rogaland","WESTERN EUROPE"
"troms og finnmark","no","troms","WESTERN EUROPE"
"trøndelag","no","sør-trøndelag","WESTERN EUROPE"
"vestfold og telemark","no","telemark","WESTERN EUROPE"
"vestland","no","hordaland; sogn og fjordane","WESTERN EUROPE"
"viken","no","akershus; buskerud","WESTERN EUROPE"
"central development region","np","central",NA
"metropolitan municipality of lima","pe","lima","LATIN AMER. & CARIB"
"islamabad capital territory","pk","f.c.t.","ASIA (EX. NEAR EAST)"
"khyber pakhtunkhwa","pk","n.w.f.p.","ASIA (EX. NEAR EAST)"
"punjab","pk","punjab","ASIA (EX. NEAR EAST)"
"greater poland voivodeship","pl","wielkopolskie","EASTERN EUROPE"
"kuyavian-pomeranian voivodeship","pl","kujawsko-pomorskie","EASTERN EUROPE"
"lesser poland voivodeship","pl","malopolskie","EASTERN EUROPE"
"lower silesian voivodeship","pl","dolnoslaskie","EASTERN EUROPE"
"lublin voivodeship","pl","lubelskie","EASTERN EUROPE"
"lubusz voivodeship","pl","lubuskie","EASTERN EUROPE"
"masovian voivodeship","pl","mazowieckie","EASTERN EUROPE"
"opole voivodeship","pl","opolskie","EASTERN EUROPE"
"podkarpackie voivodeship","pl","podkarpackie","EASTERN EUROPE"
"podlaskie voivodeship","pl","podlaskie","EASTERN EUROPE"
"pomeranian voivodeship","pl","pomorskie","EASTERN EUROPE"
"silesian voivodeship","pl","lódzkie","EASTERN EUROPE"
"swietokrzyskie","pl","swietokrzyskie","EASTERN EUROPE"
"warmian-masurian voivodeship","pl","warminsko-mazurskie","EASTERN EUROPE"
"west pomeranian voivodeship","pl","zachodniopomorskie","EASTERN EUROPE"
"lódz voivodeship","pl","lódzkie","EASTERN EUROPE"
"bayamón","pr","bayamón","LATIN AMER. & CARIB"
"cataño","pr","cataño","LATIN AMER. & CARIB"
"mayagüez","pr","mayagüez","LATIN AMER. & CARIB"
"aveiro district","pt","aveiro","WESTERN EUROPE"
"azores","pt","azores","WESTERN EUROPE"
"braga","pt","braga","WESTERN EUROPE"
"castelo branco district","pt","castelo branco","WESTERN EUROPE"
"coimbra district","pt","coimbra","WESTERN EUROPE"
"faro district","pt","faro","WESTERN EUROPE"
"leiria district","pt","leiria","WESTERN EUROPE"
"lisbon","pt","lisboa","WESTERN EUROPE"
"madeira","pt","madeira","WESTERN EUROPE"
"porto district","pt","porto","WESTERN EUROPE"
"santarém district","pt","santarém","WESTERN EUROPE"
"setubal","pt","setúbal","WESTERN EUROPE"
"viana do castelo district","pt","viana do castelo","WESTERN EUROPE"
"vila real district","pt","vila real","WESTERN EUROPE"
"viseu district","pt","viseu","WESTERN EUROPE"
"évora district","pt","évora","WESTERN EUROPE"
"saint-denis","re","saint-denis",NA
"saint-paul","re","saint-paul",NA
"saint-pierre","re","saint-pierre",NA
"alba county","ro","alba","EASTERN EUROPE"
"arad county","ro","arad","EASTERN EUROPE"
"arge<U+0219> county","ro",NA,"EASTERN EUROPE"
"bacau county","ro","bacau","EASTERN EUROPE"
"bihor county","ro","bihor","EASTERN EUROPE"
"bistri<U+021B>a-nasaud county","ro",NA,"EASTERN EUROPE"
"boto<U+0219>ani county","ro",NA,"EASTERN EUROPE"
"bra<U+0219>ov county","ro",NA,"EASTERN EUROPE"
"braila county","ro","braila","EASTERN EUROPE"
"bucharest","ro","bucharest","EASTERN EUROPE"
"buzau county","ro","buzau","EASTERN EUROPE"
"cara<U+0219>-severin county","ro",NA,"EASTERN EUROPE"
"cluj county","ro","cluj","EASTERN EUROPE"
